Gene	Age	dnds	Degree	cai	GC_content	essentiality	marginal_essentiality	phylogenetic_capacitance
YER088C	SCER_S28	0.17455	7	0.167	0.454	0	0.030058021	3
YER089C	Eukaryota	0.0538	12	0.142	0.486	0	0.054989604	4
YER090W	pre_Eukaryota	0.0221	14	0.216	0.397	0	0.02937029	6
YER091C	pre_Eukaryota	0.0405	11	0.657	0.418	0	0.033127042	5
YER092W	SCER_S28	0.12455	19	0.094	0.395	0	0.109272279	2
YER093C	Eukaryota	0.05505	10	0.113	0.374	1	0.10903052	3
YER093C-A	N/A	0.1528	2	0.118	0.443	0	NaN	3
YER094C	pre_Eukaryota	0.01595	23	0.159	0.467	1	0.073660904	5
YER095W	pre_Eukaryota	0.04275	47	0.173	0.468	0	0.290462971	5
YER096W	pre_Eukaryota	0.16375	4	0.146	0.404	0	0.093170142	4
YER098W	Eukaryota	0.1121	19	0.135	0.369	0	0.021597433	4
YER099C	pre_Eukaryota	0.0147	10	0.133	0.412	0	NaN	5
YER100W	Eukaryota	0.0567333333333	17	0.148	0.4	0	NaN	4
YER101C	pre_Eukaryota	0.0522666666667	5	0.147	0.387	0	0.043131495	4
YER102W	N/A	0.0313666666667	81	0.718	0.428	0	NaN	6
YER103W	pre_Eukaryota	0.0129	27	0.184	0.428	0	0.128714852	6
YER104W	SCER_S28	0.227033333333	3	0.154	0.405	1	0.112145776	4
YER105C	Eukaryota	0.1776	25	0.133	0.37	0	0.00891398	3
YER106W	SCER_S28	0.262766666667	7	0.145	0.334	0	0.033283603	4
YER107C	pre_Eukaryota	0.0257666666667	14	0.109	0.417	0	0.046726186	4
YER110C	Eukaryota	0.0261	83	0.343	0.399	0	0.187316885	4
YER111C	Fungi	0.1156	19	0.145	0.346	0	0.143863549	3
YER112W	Eukaryota	0.154933333333	87	0.213	0.349	1	0.081561657	4
YER113C	Eukaryota	0.11915	6	0.112	0.376	0	0.060937135	3
YER114C	Eukaryota	0.1016	27	0.132	0.416	0	0.012280592	4
YER115C	SCER_S28	0.154333333333	8	0.112	0.421	0	0.037494776	3
YER116C	Eukaryota	0.262	22	0.13	0.431	0	0.350288669	4
YER117W	pre_Eukaryota	0.0134	13	0.648	0.445	0	0.047035234	6
YER118C	SCER_S28	0.0462333333333	68	0.162	0.398	0	0.047328572	4
YER119C	Eukaryota	0.08915	3	0.101	0.464	0	0.063797067	3
YER120W	Eukaryota	0.17875	18	0.194	0.458	0	0.089348513	3
YER122C	Eukaryota	0.0525	43	0.165	0.385	0	0.406503141	4
YER123W	Eukaryota	0.04215	10	0.166	0.369	0	0.037610661	6
YER124C	SCER_S28	0.132066666667	8	0.143	0.352	0	0.049116576	4
YER125W	Eukaryota	0.0146666666667	160	0.186	0.411	1	0.097431517	5
YER126C	Eukaryota	0.0108666666667	41	0.299	0.401	1	0.087776693	4
YER127W	Eukaryota	0.0923666666667	18	0.159	0.421	1	0.108391649	4
YER128W	SCER_S28	0.200233333333	5	0.156	0.399	0	0.046984624	4
YER129W	pre_Eukaryota	0.096	21	0.115	0.39	0	0.149266705	3
YER130C	N/A	0.1501	2	0.148	0.381	0	0.029323692	3
YER132C	SCER_S28	0.1078	14	0.12	0.393	0	0.027541077	4
YER134C	N/A	0.0833333333333	2	0.137	0.406	0	0.030647256	4
YER136W	Eukaryota	0.0085	17	0.233	0.379	1	0.057030652	6
YER137C	SCER_S28	0.2376	0	0.112	0.381	0	0.025347732	3
YER138C	N/A	0.2478	10	0.144	0.384	0	NaN	5
YER139C	Eukaryota	0.0470333333333	19	0.142	0.366	0	0.190453508	4
YER140W	Eukaryota	0.0976	1	0.101	0.377	0	0.038499597	3
YER141W	N/A	0.0478	6	0.185	0.411	0	0.319497321	4
YER142C	pre_Eukaryota	0.102433333333	17	0.134	0.364	0	0.034080805	4
YER143W	Eukaryota	0.0646	18	0.125	0.423	0	0.020844701	4
YER144C	Eukaryota	0.1419	9	0.125	0.399	0	0.046352974	4
YER145C	Fungi	0.0303	27	0.194	0.45	0	0.139804333	5
YER146W	pre_Eukaryota	0.0421	50	0.101	0.48	1	0.101584228	3
YER147C	SCER_S28	0.10745	14	0.079	0.463	1	0.076057065	3
YER148W	pre_Eukaryota	0.00693333333333	135	0.173	0.4	1	0.043446602	6
YER149C	SCER_S28	0.1026	9	0.127	0.402	0	0.016619202	4
YER150W	SCER_S28	0.1144	3	0.171	0.466	0	0.00457757	3
YER151C	Eukaryota	0.0601	416	0.179	0.399	0	0.343812554	4
YER152C	pre_Eukaryota	0.0636	1	0.092	0.503	0	0.014917805	3
YER153C	SCER_S28	0.1601	5	0.046	0.552	0	0.20588489	4
YER154W	pre_Eukaryota	0.0378	19	0.156	0.467	0	0.369753174	3
YER155C	pre_Eukaryota	0.07785	43	0.149	0.36	0	0.393407146	4
YER156C	Eukaryota	0.0391666666667	2	0.162	0.449	0	0.026280102	4
YER157W	Eukaryota	0.1114	24	0.181	0.361	1	0.092803601	4
YER158C	SCER_S28	0.172133333333	9	0.129	0.431	0	0.118457625	4
YER159C	Eukaryota	0.140366666667	8	0.083	0.437	1	0.071289986	4
YER161C	SCER_S28	0.1091	37	0.118	0.411	0	0.036517966	4
YER163C	Eukaryota	0.0834666666667	3	0.098	0.454	0	0.029949429	4
YER164W	pre_Eukaryota	0.04835	50	0.17	0.396	0	0.056139815	5
YER165W	Eukaryota	0.02075	105	0.488	0.418	1	0.069577281	5
YER167W	SCER_S28	0.0949	16	0.141	0.404	0	0.058844688	4
YER168C	pre_Eukaryota	0.0780333333333	5	0.137	0.379	1	0.166039222	4
YER169W	Eukaryota	0.0636	5	0.118	0.407	0	0.176028269	4
YER170W	pre_Eukaryota	0.0973	2	0.098	0.419	0	0.018522177	4
YER171W	pre_Eukaryota	0.0139	48	0.15	0.371	1	0.105892977	5
YER172C	pre_Eukaryota	0.0968	86	0.132	0.372	1	0.082586952	3
YER173W	Eukaryota	0.11005	21	0.113	0.384	0	0.018066755	4
YER174C	pre_Eukaryota	0.0732666666667	12	0.144	0.398	0	0.031879412	4
YER175C	pre_Eukaryota	0.0753	2	0.163	0.405	0	0.015057437	4
YER176W	pre_Eukaryota	0.1207	0	0.14	0.395	0	0.012622342	3
YER177W	Eukaryota	0.0166	70	0.323	0.459	0	0.068836796	6
YER178W	pre_Eukaryota	0.0174	14	0.296	0.453	0	0.094415257	5
YER179W	pre_Eukaryota	0.0018	24	0.141	0.398	0	0.082148071	5
YER180C	SCER_S28	0.280966666667	3	0.131	0.376	0	0.106072455	4
YER182W	Fungi	0.0554333333333	4	0.125	0.399	0	0.007779591	4
YER183C	N/A	0.0665666666667	2	0.121	0.408	0	0.018629379	4
YER184C	Fungi	0.1264	4	0.126	0.382	0	0.148758933	1
YER185W	N/A	0.193	0	0.104	0.374	0	0.02023311	2
YER186C	SCER_S28	0.372	2	0.098	0.387	0	0.156745635	2
YER187W	N/A	0.5721	0	0.096	0.454	0	0.018032398	3
YFL001W	pre_Eukaryota	0.15965	6	0.148	0.388	0	0.152256581	4
YFL002C	pre_Eukaryota	0.07785	46	0.13	0.38	1	0.060452341	5
YFL003C	pre_Eukaryota	0.0702	9	0.108	0.356	0	0.036291003	3
YFL004W	N/A	0.0691	5	0.196	0.373	0	0.019668818	5
YFL005W	Eukaryota	0.0104666666667	32	0.196	0.406	1	0.068315658	6
YFL007W	SCER_S28	0.0639666666667	26	0.15	0.381	0	0.169804702	4
YFL008W	pre_Eukaryota	0.0498	41	0.163	0.358	1	0.064256339	5
YFL009W	pre_Eukaryota	0.0333333333333	20	0.139	0.397	1	0.081269454	4
YFL010C	Fungi	0.128166666667	11	0.144	0.502	0	0.017436287	4
YFL011W	pre_Eukaryota	0.0437333333333	3	0.164	0.412	0	0.023125731	4
YFL012W	SCER_S28	0.51915	0	0.102	0.358	0	0.016062761	1
YFL013C	SCER_S28	0.1383	35	0.134	0.401	0	0.027158902	4
YFL014W	pre_Eukaryota	0.0896	8	0.639	0.486	0	0.033095189	4
YFL016C	pre_Eukaryota	0.0373	10	0.161	0.47	0	0.375645999	3
YFL017C	Eukaryota	0.07075	9	0.144	0.421	1	0.062527421	4
YFL018C	pre_Eukaryota	0.0242	14	0.253	0.423	0	0.32201038	5
YFL020C	SCER_S28	0.0856	0	0.508	0.462	0	0.040560317	4
YFL023W	SCER_S28	0.2909	47	0.135	0.403	0	0.230924533	4
YFL024C	Eukaryota	0.04175	29	0.154	0.381	1	0.119928893	4
YFL025C	N/A	0.1112	6	0.128	0.369	0	0.133451167	3
YFL026W	Fungi	0.07615	12	0.136	0.378	0	0.07113777	3
YFL027C	Eukaryota	0.158433333333	0	0.121	0.376	0	0.154307149	4
YFL028C	pre_Eukaryota	0.0492	5	0.174	0.396	0	0.038964088	3
YFL029C	Eukaryota	0.12105	8	0.135	0.416	1	0.078930964	4
YFL030W	pre_Eukaryota	0.0566	4	0.121	0.468	0	0.021035365	4
YFL031W	SCER_S28	0.1576	8	0.102	0.472	0	0.019507209	4
YFL033C	pre_Eukaryota	0.0727	30	0.129	0.409	0	0.093412563	3
YFL034W	Eukaryota	0.0678	12	0.157	0.41	0	0.02317891	3
YFL036W	Eukaryota	0.0336	13	0.169	0.38	0	0.357950571	4
YFL037W	Eukaryota	0.0053	48	0.271	0.444	1	0.095298778	6
YFL038C	Eukaryota	0.0009	37	0.185	0.458	1	0.044459576	6
YFL039C	Eukaryota	0.0	108	0.711	0.439	1	0.088584546	6
YFL040W	pre_Eukaryota	0.04565	5	0.103	0.383	0	0.032582898	4
YFL041W	pre_Eukaryota	0.0628333333333	19	0.145	0.423	0	0.035175938	4
YFL042C	Eukaryota	0.1329	3	0.13	0.423	0	0.166619191	3
YFL044C	Eukaryota	0.1298	11	0.18	0.436	0	0.027177106	3
YFL045C	Eukaryota	0.0653	23	0.54	0.391	1	0.07072968	5
YFL046W	N/A	0.03925	2	0.126	0.378	0	0.029356152	4
YFL047W	Fungi	0.06445	11	0.138	0.387	0	0.020591169	3
YFL048C	N/A	0.0569	32	0.177	0.384	0	0.013937035	3
YFL049W	Fungi	0.1145	10	0.143	0.38	0	0.025216417	3
YFL052W	Fungi	0.06615	1	0.096	0.418	0	0.0433241	4
YFL053W	pre_Eukaryota	0.0672	2	0.153	0.464	0	0.014742396	3
YFL054C	pre_Eukaryota	0.16	10	0.116	0.435	0	0.049722221	3
YFL055W	pre_Eukaryota	0.05505	1	0.122	0.427	0	0.148671826	3
YFL058W	pre_Eukaryota	0.03625	0	0.547	0.444	0	NaN	5
YFL059W	pre_Eukaryota	0.042	10	0.201	0.47	0	NaN	5
YFL060C	pre_Eukaryota	0.133066666667	4	0.143	0.399	0	0.07283833	3
YFL062W	N/A	0.3286	27	0.127	0.383	0	NaN	2
YFR001W	SCER_S28	0.0864	65	0.182	0.371	0	0.270939991	4
YFR002W	Eukaryota	0.04005	28	0.155	0.361	1	0.068742455	4
YFR003C	Eukaryota	0.06755	8	0.121	0.422	1	0.113946436	4
YFR004W	Eukaryota	0.0045	727	0.204	0.412	1	0.085775224	5
YFR005C	N/A	0.180266666667	4	0.121	0.367	1	0.093884498	4
YFR006W	pre_Eukaryota	0.0891	3	0.21	0.384	0	0.011476063	4
YFR007W	pre_Eukaryota	0.1335	2	0.153	0.387	0	0.026151871	4
YFR008W	SCER_S28	0.23285	12	0.129	0.373	0	0.214691	4
YFR009W	pre_Eukaryota	0.0365	29	0.287	0.394	0	0.004211856	5
YFR010W	Eukaryota	0.0452333333333	51	0.208	0.37	0	0.054998555	5
YFR011C	SCER_S28	0.0900333333333	2	0.215	0.375	0	0.293196317	4
YFR012W	Fungi	0.424933333333	1	0.111	0.381	0	0.207452083	1
YFR013W	SCER_S28	0.12705	19	0.14	0.388	0	0.016728482	3
YFR014C	pre_Eukaryota	0.0861	162	0.163	0.41	0	0.002224315	3
YFR015C	Eukaryota	0.02585	19	0.188	0.425	0	0.035326774	6
YFR016C	SCER_S28	0.317	6	0.152	0.396	0	0.009264705	3
YFR017C	SCER_S28	0.0793	15	0.129	0.518	0	0.004782964	3
YFR018C	Eukaryota	0.0797	0	0.063	0.522	0	0.005275871	3
YFR021W	Eukaryota	0.0486666666667	30	0.132	0.432	0	0.084439849	4
YFR022W	Eukaryota	0.10545	9	0.113	0.421	0	0.034106606	3
YFR023W	N/A	0.0678	1	0.145	0.327	0	0.048823525	3
YFR025C	N/A	0.117	3	0.139	0.426	0	0.006826452	3
YFR026C	SCER_S28	0.7338	0	0.093	0.416	0	0.007705172	0
YFR027W	pre_Eukaryota	0.0924	19	0.078	0.419	1	0.077003383	4
YFR028C	pre_Eukaryota	0.05945	104	0.13	0.423	1	0.042403802	4
YFR029W	N/A	0.15755	10	0.119	0.444	1	0.078938759	3
YFR030W	pre_Eukaryota	0.07275	14	0.258	0.397	0	0.032399639	5
YFR031C	pre_Eukaryota	0.0533	22	0.151	0.366	1	0.205061713	4
YFR031C-A	pre_Eukaryota	0.0553333333333	116	0.773	0.475	0	NaN	6
YFR032C	SCER_S28	0.0998	2	0.168	0.486	0	0.048775681	3
YFR033C	SCER_S28	0.227633333333	8	0.211	0.465	0	0.082210017	4
YFR034C	SCER_S28	0.1544	152	0.068	0.543	0	0.07648004	3
YFR035C	N/A	0.4821	2	0.091	0.453	0	0.022734658	2
YFR036W	SCER_S28	0.1137	15	0.134	0.487	0	0.080212844	3
YFR037C	Eukaryota	0.041	55	0.128	0.466	1	0.069354347	3
YFR038W	pre_Eukaryota	0.0592	5	0.157	0.379	0	0.044591491	3
YFR039C	SCER_S28	0.2131	3	0.131	0.381	0	0.048469605	3
YFR040W	Eukaryota	0.07145	21	0.157	0.365	0	0.017689322	3
YFR041C	N/A	0.104466666667	1	0.159	0.357	0	0.024721146	4
YFR042W	SCER_S28	0.15	4	0.108	0.358	1	0.07348448	4
YFR043C	SCER_S28	0.17165	7	0.133	0.376	0	0.018324777	2
YFR044C	pre_Eukaryota	0.0278	7	0.313	0.43	0	0.018335299	5
YFR045W	Eukaryota	0.0738	0	0.128	0.399	0	0.03007131	4
YFR046C	SCER_S28	0.24745	6	0.108	0.404	0	0.031180304	4
YFR047C	pre_Eukaryota	0.0425	4	0.188	0.444	0	0.014271356	4
YFR048W	N/A	0.0710666666667	4	0.128	0.393	0	0.023126652	5
YFR049W	SCER_S28	0.1521	7	0.112	0.434	0	0.035459639	4
YFR050C	pre_Eukaryota	0.0431	26	0.148	0.416	1	0.073392611	4
YFR051C	Eukaryota	0.0473	32	0.197	0.455	1	0.096420396	3
YFR052W	Eukaryota	0.0584333333333	58	0.18	0.373	1	0.111144759	4
YFR053C	Eukaryota	0.0357333333333	12	0.461	0.425	0	0.035482251	6
YGL001C	pre_Eukaryota	0.0252333333333	20	0.204	0.397	1	0.092626703	5
YGL002W	N/A	0.1559	3	0.157	0.383	0	0.050867298	4
YGL003C	pre_Eukaryota	0.02985	26	0.113	0.422	0	0.022811559	4
YGL004C	pre_Eukaryota	0.211766666667	21	0.125	0.392	0	0.062382539	4
YGL005C	SCER_S28	0.1406	13	0.117	0.354	0	0.024580852	4
YGL006W	pre_Eukaryota	0.0781	32	0.159	0.385	0	0.03572827	4
YGL008C	pre_Eukaryota	0.0948	31	0.734	0.424	1	0.07960058	5
YGL009C	pre_Eukaryota	0.0418	12	0.336	0.404	0	0.04820985	4
YGL010W	Eukaryota	0.231766666667	0	0.123	0.381	0	0.088297662	4
YGL011C	pre_Eukaryota	0.0218	41	0.178	0.406	1	0.085438258	5
YGL012W	N/A	0.0595	18	0.23	0.415	0	0.36762349	5
YGL013C	Fungi	0.0796	12	0.142	0.38	0	0.037642701	3
YGL014W	Eukaryota	0.0649	63	0.152	0.39	0	0.019501626	3
YGL015C	SCER_S28	0.213766666667	2	0.141	0.374	0	0.052522109	1
YGL016W	Eukaryota	0.0964	20	0.18	0.357	0	0.032713276	4
YGL017W	Eukaryota	0.115966666667	7	0.124	0.42	0	0.05780737	4
YGL018C	Eukaryota	0.0918333333333	4	0.206	0.422	1	0.082896965	4
YGL019W	Eukaryota	0.0281666666667	60	0.126	0.46	0	0.053205224	5
YGL020C	SCER_S28	0.14235	3	0.161	0.394	0	0.301424512	4
YGL021W	Eukaryota	0.1177	3	0.142	0.367	0	0.070439914	4
YGL022W	pre_Eukaryota	0.0148	18	0.214	0.453	1	0.082357742	4
YGL025C	SCER_S28	0.1397	46	0.105	0.469	0	0.377465589	4
YGL026C	pre_Eukaryota	0.0217333333333	10	0.32	0.433	0	0.026475216	5
YGL027C	Eukaryota	0.0788	3	0.15	0.393	0	0.062633077	4
YGL028C	pre_Eukaryota	0.555766666667	3	0.28	0.415	0	0.051126015	4
YGL029W	Fungi	0.0978333333333	4	0.217	0.397	0	0.0694278	5
YGL031C	N/A	0.12115	62	0.759	0.419	0	0.173910599	6
YGL032C	SCER_S28	0.288566666667	1	0.089	0.406	0	0.033497809	1
YGL033W	N/A	0.1727	1	0.138	0.338	0	0.025836996	4
YGL035C	Eukaryota	0.08035	31	0.152	0.424	0	0.150911055	4
YGL036W	SCER_S28	0.20375	5	0.148	0.36	0	0.073895188	4
YGL037C	pre_Eukaryota	0.0537333333333	11	0.319	0.432	0	0.044756056	4
YGL038C	N/A	0.160666666667	2	0.149	0.391	0	0.10151721	4
YGL039W	pre_Eukaryota	0.088	6	0.202	0.399	0	0.023776462	4
YGL040C	pre_Eukaryota	0.0224333333333	5	0.203	0.435	1	0.074823291	5
YGL043W	pre_Eukaryota	0.0889666666667	26	0.187	0.402	0	0.045505739	6
YGL044C	Eukaryota	0.03415	21	0.097	0.413	1	0.281310965	3
YGL045W	N/A	0.0496	8	0.112	0.415	0	0.089056151	4
YGL047W	Eukaryota	0.145566666667	3	0.125	0.426	1	0.057757989	4
YGL048C	pre_Eukaryota	0.00426666666667	65	0.218	0.405	1	0.034257303	6
YGL049C	pre_Eukaryota	0.108	45	0.177	0.392	0	0.122700118	3
YGL050W	pre_Eukaryota	0.1641	3	0.125	0.397	0	0.035612411	3
YGL053W	SCER_S28	0.3905	15	0.128	0.401	0	0.030518773	2
YGL054C	Eukaryota	0.0216	8	0.311	0.353	0	0.196932869	5
YGL055W	Eukaryota	0.046	23	0.543	0.412	1	0.077231651	5
YGL056C	N/A	0.05265	21	0.117	0.421	0	0.051460129	3
YGL057C	SCER_S28	0.1945	2	0.114	0.376	0	0.082483852	2
YGL058W	Eukaryota	0.0055	23	0.225	0.417	0	0.274458874	5
YGL059W	N/A	0.0299	94	0.148	0.356	0	0.031111203	4
YGL060W	SCER_S28	0.18295	25	0.148	0.372	0	0.019558962	4
YGL061C	SCER_S28	0.126733333333	21	0.127	0.377	1	0.03942791	4
YGL062W	pre_Eukaryota	0.0166	8	0.261	0.434	0	0.013948481	6
YGL063W	pre_Eukaryota	0.17045	2	0.066	0.51	0	0.0111323	3
YGL064C	pre_Eukaryota	0.0856	4	0.129	0.394	0	0.443829065	4
YGL065C	pre_Eukaryota	0.0531	2	0.17	0.361	1	0.073496752	3
YGL066W	Fungi	0.0981	38	0.132	0.419	0	0.197262952	3
YGL067W	N/A	0.0778666666667	6	0.152	0.386	0	0.015576381	4
YGL068W	pre_Eukaryota	0.0995	15	0.204	0.43	1	0.037498466	3
YGL070C	pre_Eukaryota	0.000966666666667	36	0.16	0.396	0	0.224130988	6
YGL071W	SCER_S28	0.105033333333	14	0.133	0.401	0	0.26006969	4
YGL073W	Eukaryota	0.0957	13	0.125	0.396	1	0.076060102	4
YGL075C	SCER_S28	0.252066666667	20	0.114	0.385	1	0.064189869	4
YGL077C	N/A	0.0417666666667	57	0.205	0.411	0	0.139705172	6
YGL078C	pre_Eukaryota	0.0503333333333	26	0.271	0.388	0	0.043140931	6
YGL079W	SCER_S28	0.0835	12	0.155	0.391	0	0.145626391	4
YGL080W	N/A	0.0477666666667	2	0.133	0.379	0	0.018954414	5
YGL081W	SCER_S28	0.186266666667	10	0.139	0.378	0	0.21078421	2
YGL082W	N/A	0.04495	4	0.135	0.392	0	0.024254356	4
YGL083W	pre_Eukaryota	0.1012	2	0.156	0.371	0	0.037745345	4
YGL084C	pre_Eukaryota	0.0448	8	0.169	0.374	0	0.22885682	3
YGL085W	N/A	0.109366666667	0	0.131	0.384	0	0.068943403	4
YGL086W	pre_Eukaryota	0.113633333333	13	0.142	0.328	0	0.024276405	4
YGL089C	N/A	0.22035	2	0.276	0.469	0	0.029846058	3
YGL090W	SCER_S28	0.2939	12	0.134	0.375	0	0.027654478	4
YGL091C	pre_Eukaryota	0.0283	6	0.124	0.428	1	0.059684846	5
YGL093W	Fungi	0.1879	17	0.118	0.39	1	0.185027313	3
YGL094C	Eukaryota	0.0271	7	0.142	0.375	0	0.068488525	3
YGL095C	Eukaryota	0.06865	13	0.146	0.354	0	0.195381508	4
YGL096W	Eukaryota	0.146233333333	5	0.103	0.399	0	0.013111902	4
YGL097W	Eukaryota	0.05475	34	0.204	0.443	1	0.164709814	4
YGL098W	SCER_S28	0.1096	12	0.138	0.381	1	0.09176981	4
YGL099W	pre_Eukaryota	0.0225	48	0.205	0.389	1	0.066972772	5
YGL100W	pre_Eukaryota	0.0335	25	0.143	0.414	0	NaN	4
YGL101W	N/A	0.0911	1	0.184	0.372	0	0.071167383	4
YGL103W	N/A	0.0271333333333	104	0.705	0.447	1	0.078165413	5
YGL104C	pre_Eukaryota	0.0781666666667	28	0.12	0.397	0	0.060907568	4
YGL105W	pre_Eukaryota	0.0942	55	0.388	0.424	0	0.145912049	5
YGL106W	pre_Eukaryota	0.0283	62	0.217	0.47	0	NaN	4
YGL107C	N/A	0.0806	1	0.141	0.383	0	0.366605143	3
YGL108C	N/A	0.2456	13	0.126	0.421	0	0.041871965	3
YGL110C	SCER_S28	0.0982	2	0.14	0.37	0	0.027112474	4
YGL111W	Eukaryota	0.135133333333	64	0.127	0.393	1	0.070409675	4
YGL112C	Eukaryota	0.0349	69	0.147	0.38	1	0.072614153	4
YGL113W	SCER_S28	0.1768	7	0.118	0.377	1	0.089885263	4
YGL114W	N/A	0.03125	2	0.098	0.423	0	0.045407121	4
YGL115W	Eukaryota	0.0243333333333	42	0.16	0.388	0	0.228081019	4
YGL116W	pre_Eukaryota	0.0422	36	0.14	0.404	1	0.08418015	4
YGL117W	SCER_S28	0.372	2	0.134	0.37	0	0.076040005	2
YGL119W	pre_Eukaryota	0.0763	5	0.128	0.382	0	NaN	5
YGL120C	pre_Eukaryota	0.0128333333333	157	0.206	0.41	1	0.086950554	4
YGL121C	SCER_S28	0.129933333333	11	0.149	0.421	0	0.029582118	4
YGL122C	Eukaryota	0.05325	2571	0.16	0.437	1	0.08189176	4
YGL123W	N/A	0.0629333333333	44	0.801	0.461	1	0.074436233	6
YGL124C	Eukaryota	0.11555	15	0.113	0.371	0	0.077616539	3
YGL125W	Eukaryota	0.0145333333333	3	0.221	0.46	0	0.044015469	5
YGL126W	Eukaryota	0.0789333333333	1	0.066	0.554	0	0.156376268	4
YGL127C	Eukaryota	0.058	35	0.097	0.465	0	0.152061213	4
YGL128C	pre_Eukaryota	0.155	21	0.136	0.416	1	0.066549574	2
YGL129C	Fungi	0.0733333333333	36	0.147	0.365	0	0.579101487	4
YGL130W	Eukaryota	0.02675	24	0.137	0.401	1	0.081690381	3
YGL131C	Eukaryota	0.1378	7	0.131	0.367	0	0.035573107	3
YGL133W	Eukaryota	0.1111	24	0.146	0.378	0	0.157889378	3
YGL134W	Eukaryota	0.1381	22	0.121	0.391	0	0	3
YGL135W	pre_Eukaryota	0.0319333333333	79	0.832	0.419	0	0.219202704	5
YGL136C	N/A	0.0932666666667	2	0.142	0.389	0	0.282251896	4
YGL137W	pre_Eukaryota	0.05355	108	0.208	0.405	1	0.092225605	6
YGL138C	SCER_S28	0.1247	0	0.124	0.342	0	0.045630446	2
YGL139W	Fungi	0.0633	2	0.142	0.387	0	0.027121463	4
YGL140C	N/A	0.0276	1	0.124	0.39	0	0.088445984	3
YGL141W	Eukaryota	0.08445	11	0.154	0.367	0	0.164319772	4
YGL142C	Eukaryota	0.1559	2	0.109	0.374	1	0.085777886	4
YGL143C	pre_Eukaryota	0.06005	4	0.137	0.415	0	0.493631239	4
YGL144C	N/A	0.0598666666667	4	0.131	0.384	0	0.16944259	4
YGL145W	SCER_S28	0.15055	10	0.162	0.345	1	0.078687218	4
YGL146C	SCER_S28	0.174533333333	3	0.078	0.421	0	0.161731107	3
YGL148W	pre_Eukaryota	0.00765	8	0.323	0.478	0	0.053844917	5
YGL150C	pre_Eukaryota	0.0651	35	0.192	0.387	1	0.074453532	4
YGL151W	SCER_S28	0.0656	35	0.145	0.35	0	0.026361251	3
YGL153W	Eukaryota	0.1815	37	0.138	0.409	0	0.016114295	4
YGL154C	SCER_S28	0.255666666667	5	0.135	0.39	0	0.050234439	3
YGL155W	Eukaryota	0.139666666667	1	0.111	0.395	1	0.099131979	4
YGL156W	pre_Eukaryota	0.0294	8	0.176	0.388	0	0.038214174	5
YGL157W	pre_Eukaryota	0.0894333333333	8	0.206	0.397	0	0.024229697	4
YGL158W	pre_Eukaryota	0.1406	132	0.149	0.403	0	0.041742194	4
YGL159W	N/A	0.18875	0	0.17	0.346	0	0.044952289	4
YGL160W	N/A	0.1205	3	0.125	0.364	0	0.027733036	4
YGL161C	Eukaryota	0.109466666667	12	0.117	0.424	0	0.03394171	4
YGL162W	SCER_S28	0.1454	7	0.134	0.425	0	0.057166242	4
YGL163C	pre_Eukaryota	0.0321	9	0.155	0.406	0	0.123902443	5
YGL164C	N/A	0.07895	2	0.119	0.386	0	0.05689337	3
YGL166W	Fungi	0.2358	9	0.117	0.476	0	0.050672926	3
YGL167C	N/A	0.0366	21	0.196	0.381	0	0.433675329	4
YGL169W	pre_Eukaryota	0.05945	0	0.113	0.399	1	0.082224514	4
YGL170C	SCER_S28	0.1677	5	0.149	0.358	0	0.06637116	4
YGL171W	pre_Eukaryota	0.07245	19	0.171	0.369	1	0.077971991	6
YGL172W	Eukaryota	0.0717	33	0.099	0.431	1	0.078402151	4
YGL173C	Eukaryota	0.0557	79	0.194	0.376	0	0.041746374	5
YGL174W	pre_Eukaryota	0.266433333333	9	0.107	0.401	0	0.08555785	4
YGL175C	SCER_S28	0.179766666667	12	0.133	0.388	0	0.078766729	4
YGL176C	N/A	0.315833333333	0	0.125	0.368	0	0.031601437	4
YGL178W	Eukaryota	0.0562	18	0.172	0.362	0	NaN	5
YGL179C	pre_Eukaryota	0.2059	84	0.104	0.399	0	0.055473368	4
YGL180W	pre_Eukaryota	0.0429	201	0.139	0.372	0	0.053582444	3
YGL181W	Eukaryota	0.0898	28	0.111	0.444	0	0.047050446	3
YGL183C	Eukaryota	0.08535	1	0.122	0.346	0	NaN	4
YGL184C	pre_Eukaryota	0.03405	4	0.131	0.415	0	NaN	4
YGL185C	pre_Eukaryota	0.157666666667	4	0.132	0.404	0	NaN	4
YGL186C	N/A	0.066	1	0.12	0.407	0	NaN	4
YGL187C	Eukaryota	0.0233	13	0.285	0.415	0	NaN	5
YGL189C	Eukaryota	0.0107333333333	11	0.781	0.445	0	0.172188382	5
YGL190C	Eukaryota	0.0094	56	0.131	0.356	0	NaN	6
YGL191W	N/A	0.0147	3	0.212	0.424	0	NaN	3
YGL192W	Eukaryota	0.0974	5	0.132	0.397	0	NaN	6
YGL194C	pre_Eukaryota	0.0282333333333	14	0.123	0.382	0	0.061597708	5
YGL195W	pre_Eukaryota	0.0572	67	0.189	0.386	0	0.032837675	4
YGL196W	N/A	0.0878	1	0.124	0.402	0	0.007255154	4
YGL197W	SCER_S28	0.0514333333333	16	0.125	0.401	0	0.060351652	4
YGL198W	pre_Eukaryota	0.07935	21	0.074	0.498	0	0.019450768	3
YGL200C	Eukaryota	0.0412666666667	58	0.223	0.443	0	0.027479778	4
